key,korean,english,context,files
aws_kr_f06f9fdb_kr_d1d9e26c_kr_7c80c7cc__3e64ae26,AWS 파트너 프로그램이나 파트너사와의 협업을 문의하시나요?,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
aws_prechat,AWS PreChat,,JSX text content in components/PageHeader.tsx,components/PageHeader.tsx
aws_prechat_is_a_conversational_ai_web_s_b44a6d96,"AWS PreChat is a conversational AI web system designed to streamline the pre-meeting preparation process between AWS sales teams and customers. The system replaces traditional Excel-based forms with an intuitive chatbot interface that guides customers through a structured conversation to collect business requirements, technical constraints, and project timelines. The collected information is then processed and presented to AWS sales representatives and engineers in an organized, actionable format.",,JSX text content in components/PageHeader.tsx,components/PageHeader.tsx
aws_prechat_kr_d8ab5eae_kr_e10691a8_kr_3_45e21b15,AWS PreChat 서비스 이용과 관련된 개인정보 처리방침 및 서비스 이용약관입니다.,,JSX text content in components/PrivacyTermsModal.tsx,components/PrivacyTermsModal.tsx
awsprechat,AWSPreChat_,,Template literal head in utils/csvExport.ts,utils/csvExport.ts
back_to_sign_up,Back to Sign Up,,JSX text content in pages/auth/Login.tsx,pages/auth/Login.tsx
bant_kr_a5b9ef21,BANT 분석,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
bant_kr_a5b9ef21_kr_7d4f0769_kr_abe6053f_d35efffa,BANT 분석 결과가 생성되지 않았습니다.,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
bearer,Bearer,,Template literal head in services/api.ts,services/api.ts; services/auth.ts
bedrock_quota_kr_c0c6e706_kr_74dfbe7a_kr_159a7b8b,Bedrock Quota 가 한정된 환경이므로 어시스턴스 응답에 스로틀링이 발생할 수 있습니다.,,JSX text content in components/BedrockQuotaNotification.tsx,components/BedrockQuotaNotification.tsx
budget_kr_64f637c1,Budget (예산),,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
chat_session,/chat/session/,,Template literal head in services/api.ts,services/api.ts
company,Company,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
completed,Completed,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AdminSessionDetails.tsx
confirm_email,Confirm Email,,String literal in pages/auth/Login.tsx,pages/auth/Login.tsx
confirmation_code,Confirmation Code,,JSX attribute: label in pages/auth/Login.tsx,pages/auth/Login.tsx
consultation_complete_your_aws_sales_rep_d7d32746,"🎯 **Consultation Complete!**

Your AWS sales representative will contact you:

👤 **",,Template literal head in hooks/useChat.ts,hooks/useChat.ts
consultationpurposes,ConsultationPurposes_,,Template literal head in utils/sessionStorage.ts,utils/sessionStorage.ts
conversation,Conversation,,String literal in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
copy,Copy,,String literal in components/ChatMessage.tsx,components/ChatMessage.tsx; components/StreamingChatMessage.tsx
copy_pin,Copy PIN,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
copy_url,Copy URL,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
copyright_c_2025_aws_prechat,Copyright (c) 2025 AWS PreChat,,JSX text content in components/Layout.tsx,components/Layout.tsx
create_a_password,Create a password,,JSX attribute: placeholder in pages/auth/Login.tsx,pages/auth/Login.tsx
create_account,Create Account,,JSX text content in pages/auth/Login.tsx,pages/auth/Login.tsx
created,Created,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
created_successfully,""" created successfully!",,Template literal span in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx
creating,Creating,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AgentsDashboard.tsx
csrf,csrf_,,Template literal head in services/api.ts,services/api.ts; utils/sessionStorage.ts
csv_kr_7db3efd9_kr_4fe08141_kr_2db01e42,CSV 파일이 자동으로 다운로드되었습니다.,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
csv_kr_d160f681_kr_612ca27b,CSV 파일 다운로드:,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
current_user_email,Current user email,,String literal in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
customer,/customer/,,Template literal span in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; pages/admin/AdminSessionDetails.tsx; pages/admin/CreateSession.tsx
customer_company,Customer Company,,JSX attribute: label in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
customer_email,Customer Email,,JSX attribute: label in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
customer_name,Customer Name,,JSX attribute: label in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
customer_title,Customer Title,,JSX attribute: label in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
delete,Delete,,String literal in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
deleting,Deleting,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AgentsDashboard.tsx
details,/details,,Template literal span in services/api.ts,services/api.ts
discussion,Discussion,,JSX text content in components/DiscussionTab.tsx,components/DiscussionTab.tsx; pages/admin/AdminSessionDetails.tsx
discussions,/discussions,,Template literal span in services/api.ts,services/api.ts
div,</div>,,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_aws_services_div_class_section_h2_cl_34c15737,"</div>
            
            <!-- AWS Services -->
            <div class=""section"">
                <h2 class=""section-title"">추천 AWS 서비스</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_aws_services_div_class_section_h2_cl_7c44f7bc,"</div>
                    
                    <!-- AWS Services -->
                    <div class=""section"">
                        <h2 class=""section-title"">추천 AWS 서비스</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_bant_analysis_div_class_section_h2_c_66ba0c8c,"</div>
                    
                    <!-- BANT Analysis -->
                    <div class=""section"">
                        <h2 class=""section-title"">BANT 분석</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_bant_analysis_div_class_section_h2_c_c4fac5e8,"</div>
            
            <!-- BANT Analysis -->
            <div class=""section"">
                <h2 class=""section-title"">BANT 분석</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_class_bant_grid_div_class_bant_item__117b4077,"<div class=""bant-grid"">
                        <div class=""bant-item"">
                            <div class=""bant-label"">Budget (예산)</div>
                            <div class=""bant-content"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_class_bant_grid_div_class_bant_item__870189f6,"<div class=""bant-grid"">
                                <div class=""bant-item"">
                                    <div class=""bant-label"">Budget (예산)</div>
                                    <div class=""bant-content"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_class_case_card_div_class_case_title,"<div class=""case-card"">
                                <div class=""case-title"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_class_cases_list,"<div class=""cases-list"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_class_markdown_content,"<div class=""markdown-content"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_class_meeting_log_content,"<div class=""meeting-log-content"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_class_service_card_div_class_service_title,"<div class=""service-card"">
                                <div class=""service-title"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_class_services_grid,"<div class=""services-grid"">",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
div_customer_cases_div_class_section_h2__280ec117,"</div>
                    
                    <!-- Customer Cases -->
                    <div class=""section"">
                        <h2 class=""section-title"">관련 고객 사례</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_customer_cases_div_class_section_h2__f9cd9579,"</div>
            
            <!-- Customer Cases -->
            <div class=""section"">
                <h2 class=""section-title"">관련 고객 사례</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_class_case_section_div_class_cas_d1c0c85c,"</div>
                                        <div class=""case-section"">
                                            <div class=""case-section-title"">사례 설명</div>
                                            <div class=""case-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_class_case_section_div_class_cas_ec4d95e1,"</div>
                                <div class=""case-section"">
                                    <div class=""case-section-title"">사례 설명</div>
                                    <div class=""case-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_class_footer_item_kr_60c79769_id,"</div>
                <div class=""footer-item"">세션 ID:",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_class_footer_item_kr_cb8ebef3_kr_4169bb4f,"</div>
                <div class=""footer-item"">리포트 생성:",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_class_footer_item_kr_de7dab89_kr_8ffba872,"</div>
                <div class=""footer-item"">사용 모델:",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_class_service_section_div_class__85e5ebe2,"</div>
                                <div class=""service-section"">
                                    <div class=""service-section-title"">추천 이유</div>
                                    <div class=""service-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_class_service_section_div_class__bb64cdd1,"</div>
                                        <div class=""service-section"">
                                            <div class=""service-section-title"">추천 이유</div>
                                            <div class=""service-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div,"</div>
                        </div>
                    </div>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_bant_item_div_class_ba_3ff4652f,"</div>
                        </div>
                        <div class=""bant-item"">
                            <div class=""bant-label"">Timeline (일정)</div>
                            <div class=""bant-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_bant_item_div_class_ba_46187826,"</div>
                                </div>
                                <div class=""bant-item"">
                                    <div class=""bant-label"">Authority (권한)</div>
                                    <div class=""bant-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_bant_item_div_class_ba_58aefa48,"</div>
                                </div>
                                <div class=""bant-item"">
                                    <div class=""bant-label"">Timeline (일정)</div>
                                    <div class=""bant-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_bant_item_div_class_ba_7d1b85e0,"</div>
                        </div>
                        <div class=""bant-item"">
                            <div class=""bant-label"">Authority (권한)</div>
                            <div class=""bant-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_bant_item_div_class_ba_8077ef4b,"</div>
                        </div>
                        <div class=""bant-item"">
                            <div class=""bant-label"">Need (필요성)</div>
                            <div class=""bant-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_bant_item_div_class_ba_dd25024c,"</div>
                                </div>
                                <div class=""bant-item"">
                                    <div class=""bant-label"">Need (필요성)</div>
                                    <div class=""bant-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_case_section_div_class_32cb89d8,"</div>
                                </div>
                                <div class=""case-section"">
                                    <div class=""case-section-title"">관련성</div>
                                    <div class=""case-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_case_section_div_class_a157907b,"</div>
                                        </div>
                                        <div class=""case-section"">
                                            <div class=""case-section-title"">관련성</div>
                                            <div class=""case-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_footer_div_class_foote_348788ee,"</div>
        </div>
        
        <div class=""footer"">
            <div class=""footer-info"">
                <div class=""footer-item"">분석 완료:",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_info_item_div_class_in_055c6a6b,"</div>
                        </div>
                        <div class=""info-item"">
                            <div class=""info-label"">이메일</div>
                            <div class=""info-value"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_info_item_div_class_in_85532f1f,"</div>
                        </div>
                        <div class=""info-item"">
                            <div class=""info-label"">회사명</div>
                            <div class=""info-value"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_info_item_div_class_in_8c89363f,"</div>
                        </div>
                        <div class=""info-item"">
                            <div class=""info-label"">담당 세일즈</div>
                            <div class=""info-value"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_service_section_div_cl_57b1daca,"</div>
                                </div>
                                <div class=""service-section"">
                                    <div class=""service-section-title"">구현 방안</div>
                                    <div class=""service-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_class_service_section_div_cl_d42c77e1,"</div>
                                        </div>
                                        <div class=""service-section"">
                                            <div class=""service-section-title"">구현 방안</div>
                                            <div class=""service-section-content"">",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_div_div_class_footer_div_cla_28a0f5a4,"</div>
                </div>
            </div>
        </div>
        
        <div class=""footer"">
            <div class=""footer-info"">
                <div class=""footer-item"">분석 완료:",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_div_div_summary_report_div_c_743b3835,"</div>
                        </div>
                    </div>
                </div>
            </div>
            
            <!-- Summary Report -->
            <div class=""section"">
                <h2 class=""section-title"">요약 보고서</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_div_div_two_column_layout_di_97589bcc,"</div>
                        </div>
                    </div>
                </div>
            </div>
            
            <!-- Two Column Layout -->
            <div class=""two-column-layout"">
                <!-- Left Column - AI Analysis -->
                <div class=""left-column"">
                    <!-- Summary Report -->
                    <div class=""section"">
                        <h2 class=""section-title"">요약 보고서</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_div_style_margin_top_15px_font_s_0ab45f37,"</div>
            </div>
            <div style=""margin-top: 15px; font-size: 0.8rem; color: #999;"">
                이 리포트는 MTE Pre-consultation Chatbot에서 자동 생성되었습니다.
            </div>
        </div>
    </div>
</body>
</html>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
div_div_right_column_meeting_log_div_cla_670dcbc0,"</div>
                </div>
                
                <!-- Right Column - Meeting Log -->
                <div class=""right-column"">
                    <div class=""section"">
                        <h2 class=""section-title"">미팅 로그</h2>",,Template literal span in utils/htmlExport.ts,utils/htmlExport.ts
doctype_html_html_lang_ko_head_meta_char_544ce20f,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>미팅 로그 리포트 -",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
doctype_html_html_lang_ko_head_meta_char_ec220bab,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>AI 분석 리포트 -",,Template literal head in utils/htmlExport.ts,utils/htmlExport.ts
edit,/edit,,Template literal span in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
email,Email,,JSX attribute: label in pages/auth/Login.tsx,pages/auth/Login.tsx
enable_memory,/enable-memory,,Template literal span in services/api.ts,services/api.ts
enter_6_digit_code,Enter 6-digit code,,JSX attribute: placeholder in pages/auth/Login.tsx,pages/auth/Login.tsx
enter_agent_instructions,Enter agent instructions...,,JSX attribute: placeholder in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
enter_agent_name,Enter agent name,,JSX attribute: placeholder in pages/admin/EditAgent.tsx,pages/admin/EditAgent.tsx
enter_customer_company,Enter customer company,,JSX attribute: placeholder in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
enter_customer_email,Enter customer email,,JSX attribute: placeholder in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
enter_customer_name,Enter customer name,,JSX attribute: placeholder in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
enter_customer_title_position,Enter customer title/position,,JSX attribute: placeholder in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
enter_kr_636441b6_kr_6eb5cd03,Enter 에이전트 이름,,JSX attribute: placeholder in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx
enter_your_email,Enter your email,,JSX attribute: placeholder in pages/auth/Login.tsx,pages/auth/Login.tsx
enter_your_email_address,Enter your email address,,JSX attribute: placeholder in pages/auth/Login.tsx,pages/auth/Login.tsx
enter_your_full_name,Enter your full name,,JSX attribute: placeholder in pages/auth/Login.tsx,pages/auth/Login.tsx
enter_your_password,Enter your password,,JSX attribute: placeholder in pages/auth/Login.tsx,pages/auth/Login.tsx
enterkr_34310a68_kr_fb237bf4_kr_f235c8d9_9a57447d,"💡 Enter로 줄바꿈, 전송 버튼으로 메시지 전송",,JSX text content in components/MultilineChatInput.tsx,components/MultilineChatInput.tsx
error_loading_translations_for,Error loading translations for,,Template literal head in i18n/TranslationManager.ts,i18n/TranslationManager.ts
expired,Expired,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AdminSessionDetails.tsx
failed,Failed,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AgentsDashboard.tsx
failed_to_load_translations_for,Failed to load translations for,,Template literal head in i18n/TranslationManager.ts,i18n/TranslationManager.ts
feedback,Feedback,,String literal in components/ChatMessage.tsx,components/ChatMessage.tsx; components/StreamingChatMessage.tsx; services/api.ts
files,/files,,Template literal span in services/api.ts,services/api.ts
files_presigned_url,/files/presigned-url/,,Template literal span in services/api.ts,services/api.ts
foundation_model,Foundation Model,,JSX attribute: label in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
full_name,Full Name,,JSX attribute: label in pages/auth/Login.tsx,pages/auth/Login.tsx
helpful,Helpful,,String literal in components/ChatMessage.tsx,components/ChatMessage.tsx; components/StreamingChatMessage.tsx
html_kr_9d0a47e6,HTML 저장,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
i18n_locales,/i18n/locales/,,Template literal head in i18n/TranslationManager.ts,i18n/TranslationManager.ts
id,ID:,,JSX text content in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx; pages/admin/CreateSession.tsx
inactivate,Inactivate,,String literal in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; services/api.ts
inactive,Inactive,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx
invalid_csv_format_for,Invalid CSV format for,,Template literal head in i18n/TranslationManager.ts,i18n/TranslationManager.ts
ko_kr,ko-KR,,String literal in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_0411fb92_kr_247d243a,댓글 작성,,JSX text content in components/DiscussionTab.tsx,components/DiscussionTab.tsx
kr_073a6047_kr_612ca27b,다시 다운로드,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
kr_073a6047_kr_fd131569,다시 시도,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_08211ce7_kr_e9f97e51_kr_66d3610e_kr_4_d15515d2,지능형 챗봇 어시스턴트로 미팅 사전 준비를 간소화해 보세요.,,JSX text content in components/WelcomeScreen.tsx,components/WelcomeScreen.tsx
kr_0d8c2e3c_memory_kr_5505a75b_kr_469a54_ac75ee73,에이전트의 Memory 기능을 활성화하여 대화 맥락을 유지할 수 있습니다.,,JSX text content in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
kr_10f18f60_kr_10a1a34d,개인정보 처리방침,,String literal in components/PrivacyTermsModal.tsx,components/PrivacyTermsModal.tsx
kr_10f18f60_kr_10a1a34d_kr_8ccb0fac_kr_d_bece43ab,개인정보 처리방침 및 서비스 이용약관,,JSX text content in components/PrivacyTermsModal.tsx,components/PrivacyTermsModal.tsx; pages/customer/CustomerChat.tsx
kr_10f18f60_kr_38d9ffc3,개인정보 동의,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_119a37e3_kr_ddfb633f_kr_9c6ba43f,비용 최적화 상담,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_132f1ad6_kr_1c73f88a,요구사항 문서,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_17a7dad1_5kr_17a7dad1,점 / 5점,,JSX text content in components/FeedbackModal.tsx,components/FeedbackModal.tsx
kr_17cc91ec_kr_745270cd,플레이스홀더 사전,,JSX text content in components/PlaceholderTooltip.tsx,components/PlaceholderTooltip.tsx
kr_1b0c71b6_kr_36b7d781_kr_713aeeef_end_of_file,대화 종료 토큰 (End of File),,String literal in components/PlaceholderTooltip.tsx,components/PlaceholderTooltip.tsx
kr_1b0c71b6_kr_529e465d,대화 내역,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_1b0c71b6_kr_a5b9ef21,대화 분석,,String literal in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
kr_1c07ed6d_kr_6f3ac528_kr_d2dc9ed4_kr_57970093,정말로 이 파일을 삭제하시겠습니까?,,String literal in components/FileUpload.tsx,components/FileUpload.tsx; components/SessionAttachments.tsx
kr_1ed99496_kr_558136bd_kr_699e7b6a_kr_9_f3d1727b,최소 하나 이상의 상담 목적을 선택해 주세요.,,JSX text content in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_1edd9142_kr_4a2b571b_csat,고객 피드백 (CSAT),,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_1edd9142_kr_93ca851a,고객 의견,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_1f31b296_kr_f7b7d8a3,개 선택됨),,JSX text content in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_209bebae_kr_9bad4e91,"안녕하세요, 저는",,Template literal head in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_209bebae_kr_9bad4e91_aws_prechat_kr_1_3049d82c,"안녕하세요 저는 AWS PreChat 입니다. 저는 고객님의 클라우드 사용을 성공적으로 돕기위해 얘기를 나누고 싶습니다.

  저희와 만남전에 논의할 내용과 기대하시는 내용을 알려주세요! 적합한 AWS 담당자께 전달해 드리겠습니다.
  
  아키텍처 다이어그램과 같이 미팅에 도움이 될 유첨파일을 제공해 주시면 함께 확인하겠습니다.",,Template literal in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_218e2ae6,닫기,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx; components/ImageGallery.tsx
kr_223b0ee1_kr_154467a7_kr_a7200500_kr_e_ee3bbd6f,와 관련하여 사전에 논의할 내용과 기대사항을 공유드리기 위해 PreChat 사전채팅에 참가하였습니다!,,Template literal span in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_26d402fb_kr_c110ca85_kr_1edd9142_kr_f_a2770843,세션이 완료되면 고객 피드백을 확인할 수 있습니다.,,String literal in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_277eb50c_kr_07afbbb1,이미지 준비,,JSX text content in components/ImageGallery.tsx,components/ImageGallery.tsx
kr_277eb50c_kr_7be0bb6b,이미지 미리보기,,JSX text content in components/ImageGallery.tsx,components/ImageGallery.tsx
kr_277eb50c_kr_7db3efd9_kr_a1e3984d,이미지 파일이 없습니다.,,JSX text content in components/ImageGallery.tsx,components/ImageGallery.tsx
kr_2d233012_kr_faa1d933_kr_3e70aca6,기술 지원 문의,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_2d233012_kr_feaba8d3,기술 명세서,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_30e15a73,삭제,,JSX text content in components/DiscussionTab.tsx,components/DiscussionTab.tsx; components/FileList.tsx; components/FileUpload.tsx
kr_34310a68_kr_c6c91b77,로 있는,,Template literal span in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_36b9757a,수정됨,,JSX text content in components/DiscussionTab.tsx,components/DiscussionTab.tsx
kr_3828fa8c_kr_4f8e308f,선택 완료 (,,JSX text content in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_38d9ffc3_kr_3f23fd87,동의 시간,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_38d9ffc3_kr_4f8e308f,동의 완료,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_39d36c74_kr_00086089_kr_abe6053f_kr_e7732464,요약 보고서가 생성되지 않았습니다.,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
